"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1976","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","57000","","","","0"
"1977","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","57100","","","","0"
"1978","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","57100","","","","0"
"1979","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","57300","","","","0"
"1980","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","58200","","","","0"
"1981","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","56800","","","","0"
"1982","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","53100","","","","0"
"1983","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","50700","","","","0"
"1984","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","51200","","","","0"
"1985","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","52000","","","","0"
"1986","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","52800","","","","0"
"1987","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","52800","","","","0"
"1988","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","54300","","","","0"
"1989","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","55400","","","","0"
"1990","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","51100","","","","0"
"1991","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","47500","","","","0"
"1992","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","46200","","","","0"
"1993","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","44900","A","","","0"
"1994","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","45500","A","","","0"
"1995","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","45700","A","","","0"
"1996","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","44800","A","","","0"
"1997","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","45000","A","","","0"
"1998","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","46000","A","","","0"
"1999","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","49000","A","","","0"
"2000","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","50000","A","","","0"
"2001","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","50500","A","","","0"
"2002","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","50500","A","","","0"
"2003","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","50400","A","","","0"
"2004","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","50800","A","","","0"
"2005","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","51300","A","","","0"
"2006","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","52700","A","","","0"
"2007","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","53800","A","","","0"
"2008","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","54700","A","","","0"
"2009","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","52700","A","","","0"
"2010","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","52100","A","","","0"
"2011","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","52400","A","","","0"
"2012","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","54200","A","","","0"
"2013","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","54500","A","","","0"
"2014","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","55500","A","","","0"
"2015","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","55000","A","","","0"
"2016","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","54400","A","","","0"
"2017","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","55600","A","","","0"
"2018","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411851","1.4.1","57100","A","","","0"
"1976","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","61400","","","","0"
"1977","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","61700","","","","0"
"1978","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","62000","","","","0"
"1979","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","61700","","","","0"
"1980","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","63400","","","","0"
"1981","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","61900","","","","0"
"1982","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","59600","","","","0"
"1983","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","57400","","","","0"
"1984","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","57800","","","","0"
"1985","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","58600","","","","0"
"1986","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","59400","","","","0"
"1987","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","59400","","","","0"
"1988","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","60400","","","","0"
"1989","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","62400","","","","0"
"1990","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","59600","","","","0"
"1991","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","56200","","","","0"
"1992","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","56000","","","","0"
"1993","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","54700","A","","","0"
"1994","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","55200","A","","","0"
"1995","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","55200","A","","","0"
"1996","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","54300","A","","","0"
"1997","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","54100","A","","","0"
"1998","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","55800","A","","","0"
"1999","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","57400","A","","","0"
"2000","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","58300","A","","","0"
"2001","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","59600","A","","","0"
"2002","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","59300","A","","","0"
"2003","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","59200","A","","","0"
"2004","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","60000","A","","","0"
"2005","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","60800","A","","","0"
"2006","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","62400","A","","","0"
"2007","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","63500","A","","","0"
"2008","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","64300","A","","","0"
"2009","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","63200","A","","","0"
"2010","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","62900","A","","","0"
"2011","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","62800","A","","","0"
"2012","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","64700","A","","","0"
"2013","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","65100","A","","","0"
"2014","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","67200","A","","","0"
"2015","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","66800","A","","","0"
"2016","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","66400","A","","","0"
"2017","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","68600","A","","","0"
"2018","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2018 constant dollars","400","units","0","v96411931","1.8.1","69600","A","","","0"


